04 Jan 22 - 09:14,"25 Perusahaan Tambang di Kaltim Boleh Ekspor Batu Bara, Kok Bisa?",66760,publish,Yes,Energi & Tambang,-
16 Dec 20 - 07:40,"Dibuka, Klinik 24 Jam PCR Deteksi Virus Corona di Kota Balikpapan",57362,publish,Yes,Kabar Kalimantan,Headline
10 May 21 - 01:29,Pertamina RU Balikpapan Pastikan Kilang Tetap Beroperasi Saat Lebaran,41018,publish,Yes,Kabar Kalimantan,Editor's Choice
04 Aug 21 - 10:31,"Kaltim Kewalahan Hadapi Covid-19, Ini Curhat Gubernur",40184,publish,Yes,Kabar Kalimantan,Headline
16 Feb 21 - 00:48,Jokowi Resmi Lantik Gubernur dan Wakil Gubernur Terpilih Kaltara 2021-2024,37982,publish,Yes,Kabar Kalimantan,Editor's Choice
24 Aug 21 - 02:14,KEK MBTK Masuk Daftar Proyek Prioritas Strategis Kementerian Investasi,37283,publish,Yes,Bisnis Kalimantan,Editor's Choice
08 Sep 22 - 07:00,Ledakan Harga Batu Bara dan Berkah untuk Kaltim,36900,publish,Yes,Bisnis Kalimantan,Headline
22 Jan 21 - 11:49,"Wow, Kaltim Dapat Kompensasi US$110 Juta dari Bank Dunia",30365,publish,Yes,Kabar Kalimantan,Editor's Choice
31 Aug 21 - 02:33,"Berlaku 8 September, Ini Daftar Tarif Tol Balsam Seksi 1 dan 5",29891,publish,Yes,Kabar Kalimantan,-
20 Jan 21 - 07:10,11 Kabupaten dan Kota Terdampak Banjir di Kalimantan Selatan,29567,publish,Yes,Kabar Kalimantan,Headline
14 Feb 23 - 11:21,Potensi Kerugian Negara Rp67 Miliar di Kaltim Berhasil Diamankan,26255,publish,Yes,Kabar Kalimantan,-
21 Nov 22 - 09:07,Kisah Pengusaha Asal Balikpapan Raup Cuan dari Kedelai,25420,publish,Yes,Bisnis Kalimantan,-
14 Apr 21 - 04:01,Kaltim Hingga Saat ini Miliki 94 Pabrik Kelapa Sawit,25079,publish,Yes,Bisnis Kalimantan,-
16 Apr 21 - 01:10,Baca! Ini Ketentuan Khusus Bagi Orang Masuk Kalteng,22866,publish,Yes,Kabar Kalimantan,-
07 Dec 22 - 04:24,"UMK Balikpapan 2023 Rp3,3 Juta, Ini Ketentuan Buat Pengusaha",21107,publish,Yes,Kabar Kalimantan,Headline
14 Dec 22 - 03:41,"Wali Kota Balikpapan Gelar Nobar Final Piala Dunia 2022, Terbuka untuk Umum",20590,publish,Yes,Kabar Kalimantan,-
28 Apr 22 - 04:04,"Harga TBS Sawit di Kaltim Naik Periode April 2022, Kok Bisa?",20018,publish,Yes,Jasa & Niaga,-
